group,variable,value
A,v40,1
B,v40,0
C,v40,0
D,v40,0
E,v40,0
F,v40,1
G,v40,1
H,v40,2
I,v40,0
J,v40,0
A,v39,0
B,v39,2
C,v39,2
D,v39,0
E,v39,1
F,v39,2
G,v39,0
H,v39,0
I,v39,1
J,v39,2
A,v38,0
B,v38,0
C,v38,2
D,v38,0
E,v38,1
F,v38,1
G,v38,1
H,v38,0
I,v38,0
J,v38,0
A,v37,0
B,v37,0
C,v37,0
D,v37,0
E,v37,0
F,v37,2
G,v37,1
H,v37,1
I,v37,0
J,v37,3
A,v36,3
B,v36,1
C,v36,3
D,v36,2
E,v36,0
F,v36,0
G,v36,0
H,v36,0
I,v36,0
J,v36,0
A,v35,0
B,v35,0
C,v35,3
D,v35,2
E,v35,0
F,v35,0
G,v35,1
H,v35,0
I,v35,1
J,v35,1
A,v34,0
B,v34,0
C,v34,0
D,v34,2
E,v34,3
F,v34,0
G,v34,0
H,v34,0
I,v34,1
J,v34,1
A,v33,1
B,v33,0
C,v33,0
D,v33,7
E,v33,1
F,v33,0
G,v33,1
H,v33,1
I,v33,0
J,v33,2
A,v32,1
B,v32,0
C,v32,0
D,v32,1
E,v32,0
F,v32,0
G,v32,1
H,v32,0
I,v32,0
J,v32,0
A,v31,0
B,v31,0
C,v31,2
D,v31,0
E,v31,1
F,v31,1
G,v31,1
H,v31,1
I,v31,1
J,v31,1
A,v30,0
B,v30,0
C,v30,0
D,v30,0
E,v30,2
F,v30,2
G,v30,2
H,v30,6
I,v30,3
J,v30,1
A,v29,2
B,v29,0
C,v29,0
D,v29,3
E,v29,3
F,v29,2
G,v29,0
