group,variable,value
A,v40,0
B,v40,0
C,v40,0
D,v40,0
E,v40,0
F,v40,1
G,v40,2
H,v40,0
I,v40,0
J,v40,1
A,v39,1
B,v39,0
C,v39,1
D,v39,0
E,v39,0
F,v39,3
G,v39,2
H,v39,0
I,v39,0
J,v39,0
A,v38,0
B,v38,1
C,v38,0
D,v38,1
E,v38,0
F,v38,0
G,v38,1
H,v38,0
I,v38,0
J,v38,1
A,v37,0
B,v37,3
C,v37,1
D,v37,1
E,v37,0
F,v37,0
G,v37,0
H,v37,2
I,v37,0
J,v37,0
A,v36,1
B,v36,1
C,v36,1
D,v36,3
E,v36,1
F,v36,0
G,v36,3
H,v36,0
I,v36,0
J,v36,1
A,v35,1
B,v35,1
C,v35,0
D,v35,0
E,v35,1
F,v35,0
G,v35,0
H,v35,0
I,v35,0
J,v35,0
A,v34,0
B,v34,1
C,v34,4
D,v34,1
E,v34,3
F,v34,3
G,v34,1
H,v34,1
I,v34,4
J,v34,0
A,v33,5
B,v33,3
C,v33,2
D,v33,3
E,v33,0
F,v33,0
G,v33,0
H,v33,0
I,v33,1
J,v33,0
A,v32,4
B,v32,0
C,v32,1
D,v32,1
E,v32,3
F,v32,1
G,v32,1
H,v32,4
I,v32,2
J,v32,1
A,v31,0
B,v31,0
C,v31,0
D,v31,0
E,v31,0
F,v31,0
G,v31,0
H,v31,2
I,v31,0
J,v31,0
A,v30,2
B,v30,0
C,v30,1
D,v30,2
E,v30,0
F,v30,0
G,v30,1
H,v30,2
I,v30,0
J,v30,2
A,v29,4
B,v29,7
C,v29,0
D,v29,0
E,v29,1
F,v29,2
G,v29,3
H,v29,1
I,v29,1
J,v29,3
A,v28,0
B,v28,3
C,v28,0
D,v28,5
E,v28,1
F,v28,1
G,v28,9
H,v28,0
I,v28,1
J,v28,1
A,v27,0
B,v27,1
C,v27,5
D,v27,1
