group,variable,value
A,v40,35
B,v40,27
C,v40,52
D,v40,26
E,v40,40
F,v40,82
G,v40,66
H,v40,37
I,v40,24
J,v40,34
A,v39,50
B,v39,35
C,v39,33
D,v39,40
E,v39,36
F,v39,41
G,v39,24
H,v39,26
I,v39,35
J,v39,40
A,v38,49
B,v38,28
C,v38,44
D,v38,40
E,v38,28
F,v38,52
G,v38,25
H,v38,50
I,v38,28
J,v38,20
A,v37,31
B,v37,30
C,v37,27
D,v37,53
E,v37,29
F,v37,32
G,v37,36
H,v37,25
I,v37,39
J,v37,24
A,v36,27
B,v36,51
C,v36,70
D,v36,36
E,v36,35
F,v36,35
G,v36,50
H,v36,60
I,v36,25
J,v36,56
A,v35,43
B,v35,76
C,v35,72
D,v35,16
E,v35,24
F,v35,31
G,v35,43
H,v35,39
I,v35,70
J,v35,37
A,v34,45
B,v34,40
C,v34,64
D,v34,46
E,v34,27
F,v34,35
G,v34,44
H,v34,30
I,v34,58
J,v34,29
A,v33,29
B,v33,56
C,v33,74
D,v33,26
E,v33,37
F,v33,54
G,v33,39
H,v33,44
I,v33,24
J,v33,31
A,v32,34
B,v32,24
C,v32,18
D,v32,32
E,v32,24
F,v32,52
G,v32,24
H,v32,42
I,v32,40
J,v32,25
A,v31,26
B,v31,20
C,v31,21
D,v31,30
E,v31,35
F,v31,55
G,v31,24
H,v31,41
I,v31,42
J,v31,39
A,v30,23
B,v30,35
C,v30,82
D,v30,66
E,v30,38
F,v30,41
G,v30,27
H,v30,49
I,v30,75
J,v30,82
A,v29,25
B,v29,23
C,v29,48
D,v29,34
E,v29,38
F,v29,24
G,v29,34
H,v29,39
I,v29,34
J,v29,48
A,v28,21
B,v28,26
C,v28,54
D,v28,32
