group,variable,value
A,v40,39
B,v40,32
C,v40,56
D,v40,26
E,v40,29
F,v40,32
G,v40,23
H,v40,30
I,v40,19
J,v40,29
A,v39,31
B,v39,24
C,v39,39
D,v39,21
E,v39,23
F,v39,30
G,v39,28
H,v39,22
I,v39,36
J,v39,29
A,v38,25
B,v38,25
C,v38,18
D,v38,31
E,v38,27
F,v38,19
G,v38,16
H,v38,23
I,v38,26
J,v38,31
A,v37,37
B,v37,38
C,v37,26
D,v37,16
E,v37,26
F,v37,37
G,v37,41
H,v37,30
I,v37,53
J,v37,33
A,v36,31
B,v36,32
C,v36,25
D,v36,41
E,v36,27
F,v36,19
G,v36,21
H,v36,30
I,v36,25
J,v36,36
A,v35,28
B,v35,28
C,v35,36
D,v35,28
E,v35,27
F,v35,32
G,v35,53
H,v35,32
I,v35,38
J,v35,18
A,v34,24
B,v34,28
C,v34,2
D,v34,34
E,v34,27
F,v34,38
G,v34,28
H,v34,29
I,v34,34
J,v34,28
A,v33,51
B,v33,28
C,v33,21
D,v33,27
E,v33,32
F,v33,33
G,v33,30
H,v33,30
I,v33,44
J,v33,19
A,v32,30
B,v32,71
C,v32,26
D,v32,19
E,v32,31
F,v32,50
G,v32,52
H,v32,36
I,v32,27
J,v32,33
A,v31,25
B,v31,38
C,v31,28
D,v31,29
E,v31,55
F,v31,30
G,v31,47
