group,variable,value
A,v40,31
B,v40,30
C,v40,28
D,v40,21
E,v40,26
F,v40,46
G,v40,69
H,v40,23
I,v40,39
J,v40,37
A,v39,31
B,v39,45
C,v39,40
D,v39,23
E,v39,24
F,v39,32
G,v39,44
H,v39,23
I,v39,31
J,v39,20
A,v38,42
B,v38,45
C,v38,26
D,v38,34
E,v38,20
F,v38,23
G,v38,39
H,v38,34
I,v38,41
J,v38,40
A,v37,36
B,v37,25
C,v37,25
D,v37,29
E,v37,30
F,v37,37
G,v37,34
H,v37,42
I,v37,42
J,v37,19
A,v36,20
B,v36,31
C,v36,38
D,v36,38
E,v36,108
F,v36,36
G,v36,79
H,v36,45
I,v36,21
J,v36,39
A,v35,28
B,v35,32
C,v35,29
D,v35,62
E,v35,35
F,v35,35
G,v35,26
H,v35,26
I,v35,19
J,v35,38
A,v34,27
B,v34,40
C,v34,82
D,v34,35
E,v34,48
F,v34,29
G,v34,60
H,v34,38
I,v34,40
J,v34,33
A,v33,35
B,v33,66
C,v33,78
D,v33,33
E,v33,19
F,v33,36
G,v33,32
H,v33,34
I,v33,24
J,v33,36
A,v32,31
B,v32,39
C,v32,27
D,v32,47
E,v32,23
F,v32,21
G,v32,28
H,v32,36
I,v32,32
J,v32,31
A,v31,80
B,v31,42
C,v31,149
D,v31,26
E,v31,32
F,v31,32
G,v31,30
