group,variable,value
A,v40,37
B,v40,28
C,v40,25
D,v40,54
E,v40,32
F,v40,38
G,v40,28
H,v40,32
I,v40,47
J,v40,28
A,v39,44
B,v39,26
C,v39,26
D,v39,35
E,v39,19
F,v39,23
G,v39,20
H,v39,40
I,v39,26
J,v39,20
A,v38,26
B,v38,34
C,v38,36
D,v38,25
E,v38,28
F,v38,28
G,v38,23
H,v38,26
I,v38,22
J,v38,29
A,v37,33
B,v37,26
C,v37,32
D,v37,47
E,v37,26
F,v37,16
G,v37,49
H,v37,52
I,v37,26
J,v37,32
A,v36,46
B,v36,39
C,v36,43
D,v36,34
E,v36,28
F,v36,34
G,v36,27
H,v36,37
I,v36,29
J,v36,36
A,v35,25
B,v35,46
C,v35,28
D,v35,29
E,v35,27
F,v35,44
G,v35,27
H,v35,28
I,v35,39
J,v35,31
A,v34,44
B,v34,64
C,v34,32
D,v34,43
E,v34,45
F,v34,29
G,v34,28
H,v34,31
I,v34,39
J,v34,41
A,v33,38
B,v33,28
C,v33,37
D,v33,58
E,v33,22
F,v33,55
G,v33,45
H,v33,41
I,v33,30
J,v33,26
A,v32,24
B,v32,45
C,v32,39
D,v32,30
E,v32,27
F,v32,40
G,v32,57
H,v32,42
I,v32,43
J,v32,27
A,v31,33
B,v31,38
C,v31,29
D,v31,25
E,v31,54
F,v31,43
G,v31,54
H,v31,37
I,v31,28
J,v31,133
A,v30,40
B,v30,37
C,v30,59
D,v30,39
E,v30,78
F,v30,42
G,v30,26
H,v30,35
I,v30,36
J,v30,47
A,v29,44
B,v29,49
C,v29,77
D,v29,54
E,v29,54
F,v29,76
G,v29,54
H,v29,35
I,v29,49
J,v29,56
A,v28,42
B,v28,47
