group,variable,value
A,v40,29
B,v40,29
C,v40,42
D,v40,38
E,v40,37
F,v40,36
G,v40,31
H,v40,32
I,v40,36
J,v40,40
A,v39,42
B,v39,47
C,v39,28
D,v39,39
E,v39,23
F,v39,25
G,v39,57
H,v39,27
I,v39,29
J,v39,34
A,v38,54
B,v38,35
C,v38,31
D,v38,31
E,v38,28
F,v38,26
G,v38,28
H,v38,34
I,v38,74
J,v38,40
A,v37,41
B,v37,35
C,v37,48
D,v37,82
E,v37,39
F,v37,26
G,v37,20
H,v37,33
I,v37,42
J,v37,32
A,v36,29
B,v36,32
C,v36,33
D,v36,28
E,v36,34
F,v36,22
G,v36,35
H,v36,29
I,v36,41
J,v36,39
A,v35,19
B,v35,30
C,v35,40
D,v35,40
E,v35,27
F,v35,31
G,v35,23
H,v35,24
I,v35,26
J,v35,55
A,v34,32
B,v34,27
C,v34,35
D,v34,31
E,v34,36
F,v34,28
G,v34,21
H,v34,38
I,v34,26
J,v34,26
A,v33,18
B,v33,17
C,v33,31
D,v33,22
E,v33,25
F,v33,37
G,v33,22
H,v33,27
I,v33,41
J,v33,29
A,v32,34
B,v32,56
C,v32,40
D,v32,39
E,v32,30
F,v32,36
G,v32,51
H,v32,36
I,v32,41
J,v32,65
A,v31,25
B,v31,41
C,v31,54
D,v31,33
E,v31,73
F,v31,33
G,v31,32
H,v31,75
I,v31,26
J,v31,26
A,v30,67
B,v30,26
C,v30,42
D,v30,39
E,v30,23
F,v30,42
G,v30,34
H,v30,23
I,v30,35
J,v30,31
A,v29,28
B,v29,39
C,v29,47
D,v29,25
E,v29,38
F,v29,19
