group,variable,value
A,v40,53
B,v40,27
C,v40,26
D,v40,45
E,v40,51
F,v40,50
G,v40,28
H,v40,48
I,v40,40
J,v40,31
A,v39,36
B,v39,23
C,v39,26
D,v39,32
E,v39,35
F,v39,35
G,v39,29
H,v39,28
I,v39,36
J,v39,33
A,v38,33
B,v38,27
C,v38,72
D,v38,29
E,v38,64
F,v38,59
G,v38,39
H,v38,28
I,v38,73
J,v38,37
A,v37,27
B,v37,24
C,v37,30
D,v37,44
E,v37,38
F,v37,44
G,v37,38
H,v37,74
I,v37,88
J,v37,56
A,v36,31
B,v36,37
C,v36,28
D,v36,33
E,v36,50
F,v36,48
G,v36,31
H,v36,22
I,v36,75
J,v36,42
A,v35,148
B,v35,44
C,v35,47
D,v35,36
E,v35,27
F,v35,25
G,v35,27
H,v35,52
I,v35,50
J,v35,39
A,v34,34
B,v34,26
C,v34,28
D,v34,27
E,v34,35
F,v34,24
G,v34,21
H,v34,34
I,v34,27
J,v34,23
A,v33,48
B,v33,68
C,v33,29
D,v33,42
E,v33,121
F,v33,30
G,v33,27
H,v33,35
I,v33,37
J,v33,20
A,v32,12
B,v32,28
C,v32,62
D,v32,30
E,v32,36
F,v32,38
G,v32,34
H,v32,28
I,v32,26
J,v32,26
A,v31,30
B,v31,24
C,v31,30
D,v31,28
E,v31,39
F,v31,49
G,v31,27
H,v31,29
I,v31,56
J,v31,55
A,v30,58
B,v30,57
C,v30,29
D,v30,80
E,v30,24
F,v30,52
G,v30,26
H,v30,44
I,v30,19
J,v30,20
A,v29,44
