group,variable,value
A,v40,51
B,v40,31
C,v40,40
D,v40,28
E,v40,25
F,v40,25
G,v40,34
H,v40,76
I,v40,40
J,v40,23
A,v39,28
B,v39,75
C,v39,52
D,v39,56
E,v39,33
F,v39,27
G,v39,38
H,v39,21
I,v39,28
J,v39,27
A,v38,34
B,v38,77
C,v38,22
D,v38,26
E,v38,30
F,v38,56
G,v38,27
H,v38,30
I,v38,33
J,v38,55
A,v37,64
B,v37,25
C,v37,29
D,v37,16
E,v37,29
F,v37,29
G,v37,31
H,v37,24
I,v37,26
J,v37,23
A,v36,39
B,v36,22
C,v36,72
D,v36,37
E,v36,46
F,v36,22
G,v36,51
H,v36,28
I,v36,27
J,v36,26
A,v35,29
B,v35,33
C,v35,58
D,v35,75
E,v35,33
F,v35,35
G,v35,25
H,v35,19
I,v35,40
J,v35,27
A,v34,21
B,v34,40
C,v34,40
D,v34,31
E,v34,44
F,v34,34
G,v34,18
H,v34,31
I,v34,26
J,v34,44
A,v33,41
B,v33,32
C,v33,21
D,v33,17
E,v33,25
F,v33,22
G,v33,31
H,v33,36
I,v33,34
J,v33,52
A,v32,30
B,v32,23
C,v32,40
D,v32,36
E,v32,32
F,v32,35
G,v32,24
H,v32,27
I,v32,39
J,v32,28
A,v31,44
B,v31,43
C,v31,48
D,v31,35
E,v31,31
F,v31,32
G,v31,48
H,v31,31
I,v31,31
J,v31,71
A,v30,25
B,v30,23
C,v30,30
D,v30,34
E,v30,54
F,v30,26
G,v30,27
H,v30,40
I,v30,27
J,v30,51
A,v29,33
B,v29,38
C,v29,23
D,v29,20
E,v29,24
F,v29,29
G,v29,26
H,v29,31
I,v29,34
J,v29,18
A,v28,16
B,v28,18
C,v28,24
D,v28,22
E,v28,21
