group,variable,value
A,v40,46
B,v40,20
C,v40,31
D,v40,24
E,v40,32
F,v40,28
G,v40,27
H,v40,18
I,v40,30
J,v40,48
A,v39,41
B,v39,39
C,v39,29
D,v39,32
E,v39,36
F,v39,24
G,v39,24
H,v39,24
I,v39,142
J,v39,40
A,v38,35
B,v38,34
C,v38,53
D,v38,29
E,v38,27
F,v38,26
G,v38,47
H,v38,36
I,v38,31
J,v38,32
A,v37,78
B,v37,27
C,v37,23
D,v37,21
E,v37,18
F,v37,24
G,v37,33
H,v37,31
I,v37,22
J,v37,26
A,v36,33
B,v36,25
C,v36,33
D,v36,18
E,v36,28
F,v36,25
G,v36,30
H,v36,19
I,v36,33
J,v36,33
A,v35,20
B,v35,40
C,v35,22
D,v35,35
E,v35,52
F,v35,64
G,v35,52
H,v35,31
I,v35,19
J,v35,23
A,v34,39
B,v34,36
C,v34,31
D,v34,16
E,v34,19
F,v34,22
G,v34,18
H,v34,26
I,v34,31
J,v34,32
A,v33,27
B,v33,24
C,v33,25
D,v33,22
E,v33,23
F,v33,60
G,v33,24
H,v33,51
I,v33,36
J,v33,36
A,v32,19
B,v32,20
C,v32,23
D,v32,28
E,v32,27
F,v32,27
