group,variable,value
A,v40,44
B,v40,26
C,v40,157
D,v40,23
E,v40,22
F,v40,76
G,v40,29
H,v40,66
I,v40,31
J,v40,29
A,v39,29
B,v39,64
C,v39,56
D,v39,32
E,v39,40
F,v39,26
G,v39,17
H,v39,23
I,v39,32
J,v39,25
A,v38,46
B,v38,25
C,v38,42
D,v38,31
E,v38,39
F,v38,29
G,v38,26
H,v38,23
I,v38,21
J,v38,34
A,v37,20
B,v37,26
C,v37,46
D,v37,24
E,v37,34
F,v37,30
G,v37,23
H,v37,21
I,v37,25
J,v37,53
A,v36,40
B,v36,86
C,v36,34
D,v36,33
E,v36,31
F,v36,27
G,v36,57
H,v36,31
I,v36,28
J,v36,23
A,v35,26
B,v35,28
C,v35,30
D,v35,28
E,v35,26
F,v35,38
G,v35,28
H,v35,33
I,v35,27
J,v35,25
A,v34,28
B,v34,41
C,v34,21
D,v34,40
E,v34,51
F,v34,0
G,v34,44
H,v34,27
I,v34,30
J,v34,40
A,v33,54
B,v33,46
C,v33,25
D,v33,44
E,v33,40
F,v33,29
G,v33,42
H,v33,44
I,v33,41
J,v33,26
A,v32,42
B,v32,23
C,v32,78
D,v32,28
E,v32,47
F,v32,26
G,v32,51
H,v32,50
I,v32,63
J,v32,35
A,v31,32
B,v31,37
C,v31,42
D,v31,35
E,v31,31
F,v31,30
G,v31,20
H,v31,24
I,v31,34
J,v31,35
A,v30,37
B,v30,44
C,v30,50
D,v30,37
E,v30,47
F,v30,33
G,v30,32
H,v30,30
I,v30,27
J,v30,28
A,v29,37
B,v29,44
C,v29,36
D,v29,43
E,v29,55
F,v29,34
G,v29,37
H,v29,30
I,v29,29
