group,variable,value
A,v40,50
B,v40,35
C,v40,34
D,v40,47
E,v40,40
F,v40,29
G,v40,56
H,v40,57
I,v40,55
J,v40,39
A,v39,28
B,v39,33
C,v39,40
D,v39,32
E,v39,56
F,v39,24
G,v39,73
H,v39,32
I,v39,77
J,v39,37
A,v38,31
B,v38,32
C,v38,32
D,v38,28
E,v38,27
F,v38,52
G,v38,56
H,v38,47
I,v38,31
J,v38,24
A,v37,36
B,v37,26
C,v37,26
D,v37,17
E,v37,85
F,v37,26
G,v37,23
H,v37,36
I,v37,28
J,v37,21
A,v36,26
B,v36,57
C,v36,31
D,v36,30
E,v36,57
F,v36,30
G,v36,71
H,v36,21
I,v36,53
J,v36,37
A,v35,43
B,v35,29
C,v35,34
D,v35,35
E,v35,70
F,v35,86
G,v35,18
H,v35,19
I,v35,23
J,v35,50
A,v34,29
B,v34,34
C,v34,43
D,v34,48
E,v34,43
F,v34,35
G,v34,51
H,v34,43
I,v34,31
J,v34,32
A,v33,50
B,v33,27
C,v33,32
D,v33,25
E,v33,36
F,v33,27
G,v33,38
H,v33,82
I,v33,27
J,v33,47
A,v32,22
B,v32,18
C,v32,21
D,v32,26
E,v32,28
F,v32,27
G,v32,48
H,v32,33
I,v32,21
J,v32,38
A,v31,32
B,v31,67
C,v31,49
D,v31,34
E,v31,71
F,v31,40
G,v31,46
H,v31,38
I,v31,32
J,v31,32
A,v30,29
B,v30,32
C,v30,40
D,v30,18
E,v30,25
F,v30,45
G,v30,41
H,v30,51
I,v30,46
J,v30,21
A,v29,23
B,v29,31
C,v29,23
D,v29,35
E,v29,37
