group,variable,value
A,v40,68
B,v40,52
C,v40,54
D,v40,44
E,v40,56
F,v40,48
G,v40,32
H,v40,42
I,v40,39
J,v40,36
A,v39,78
B,v39,27
C,v39,47
D,v39,34
E,v39,28
F,v39,49
G,v39,26
H,v39,27
I,v39,30
J,v39,23
A,v38,29
B,v38,41
C,v38,40
D,v38,21
E,v38,22
F,v38,42
G,v38,25
H,v38,44
I,v38,80
J,v38,25
A,v37,21
B,v37,38
C,v37,29
D,v37,29
E,v37,28
F,v37,25
G,v37,22
H,v37,42
I,v37,29
J,v37,31
A,v36,28
B,v36,35
C,v36,24
D,v36,38
E,v36,9
F,v36,46
G,v36,32
H,v36,27
I,v36,24
J,v36,33
A,v35,26
B,v35,24
C,v35,34
D,v35,38
E,v35,30
F,v35,22
G,v35,32
H,v35,32
I,v35,28
J,v35,38
A,v34,24
B,v34,32
C,v34,42
D,v34,26
E,v34,35
F,v34,22
G,v34,32
H,v34,27
I,v34,30
J,v34,34
A,v33,32
B,v33,24
C,v33,28
D,v33,26
E,v33,76
F,v33,30
G,v33,25
H,v33,26
I,v33,21
J,v33,46
A,v32,53
B,v32,46
C,v32,29
D,v32,30
E,v32,28
F,v32,52
G,v32,63
H,v32,31
I,v32,32
J,v32,21
A,v31,17
B,v31,39
C,v31,54
D,v31,25
E,v31,22
F,v31,23
G,v31,22
H,v31,49
I,v31,35
J,v31,26
A,v30,22
B,v30,23
C,v30,13
D,v30,28
E,v30,37
F,v30,27
G,v30,28
H,v30,30
I,v30,56
J,v30,72
A,v29,26
B,v29,23
C,v29,26
D,v29,33
E,v29,42
F,v29,19
G,v29,148
