group,variable,value
A,v40,44
B,v40,35
C,v40,15
D,v40,63
E,v40,30
F,v40,51
G,v40,31
H,v40,30
I,v40,35
J,v40,72
A,v39,25
B,v39,32
C,v39,13
D,v39,39
E,v39,31
F,v39,40
G,v39,34
H,v39,24
I,v39,27
J,v39,33
A,v38,26
B,v38,22
C,v38,33
D,v38,73
E,v38,29
F,v38,17
G,v38,27
H,v38,24
I,v38,30
J,v38,35
A,v37,22
B,v37,55
C,v37,46
D,v37,28
E,v37,25
F,v37,31
G,v37,29
H,v37,23
I,v37,22
J,v37,27
A,v36,22
B,v36,54
C,v36,28
D,v36,35
E,v36,26
F,v36,30
G,v36,22
H,v36,26
I,v36,45
J,v36,32
A,v35,36
B,v35,33
C,v35,22
D,v35,27
E,v35,28
F,v35,35
G,v35,36
H,v35,58
I,v35,49
J,v35,29
A,v34,47
B,v34,38
C,v34,30
D,v34,23
E,v34,25
F,v34,40
G,v34,22
H,v34,38
I,v34,33
J,v34,54
A,v33,46
B,v33,35
C,v33,44
D,v33,22
E,v33,35
F,v33,16
G,v33,48
H,v33,30
I,v33,35
J,v33,35
A,v32,34
B,v32,41
C,v32,35
D,v32,26
E,v32,49
F,v32,38
G,v32,34
H,v32,40
I,v32,32
J,v32,36
A,v31,22
B,v31,117
C,v31,29
D,v31,31
E,v31,33
F,v31,23
G,v31,34
H,v31,48
I,v31,25
J,v31,70
A,v30,42
B,v30,42
C,v30,57
D,v30,56
E,v30,26
F,v30,54
G,v30,43
H,v30,99
I,v30,25
J,v30,55
A,v29,53
B,v29,50
C,v29,36
D,v29,39
E,v29,73
F,v29,34
G,v29,25
H,v29,26
I,v29,48
J,v29,50
A,v28,39
B,v28,24
C,v28,67
D,v28,18
E,v28,49
F,v28,36
G,v28,52
H,v28,64
I,v28,49
