group,variable,value
A,v40,2
B,v40,1
C,v40,1
D,v40,1
E,v40,6
F,v40,7
G,v40,2
H,v40,6
I,v40,2
J,v40,4
A,v39,9
B,v39,3
C,v39,4
D,v39,1
E,v39,0
F,v39,2
G,v39,5
H,v39,6
I,v39,4
J,v39,6
A,v38,1
B,v38,7
C,v38,2
D,v38,1
E,v38,0
F,v38,0
G,v38,4
H,v38,2
I,v38,2
J,v38,3
A,v37,2
B,v37,1
C,v37,1
D,v37,3
E,v37,4
F,v37,2
G,v37,2
H,v37,6
I,v37,10
J,v37,2
A,v36,3
B,v36,0
C,v36,1
D,v36,0
E,v36,1
F,v36,2
G,v36,4
H,v36,4
I,v36,1
J,v36,0
A,v35,4
B,v35,0
C,v35,0
D,v35,3
E,v35,1
F,v35,0
G,v35,0
H,v35,1
I,v35,3
J,v35,1
A,v34,1
B,v34,0
C,v34,1
D,v34,0
E,v34,0
F,v34,0
G,v34,0
H,v34,2
I,v34,1
J,v34,1
A,v33,1
B,v33,2
C,v33,0
D,v33,1
E,v33,0
F,v33,1
G,v33,0
H,v33,1
I,v33,2
J,v33,1
A,v32,0
B,v32,0
C,v32,0
D,v32,3
E,v32,0
F,v32,1
G,v32,1
H,v32,3
I,v32,2
J,v32,3
A,v31,0
B,v31,2
C,v31,5
D,v31,3
E,v31,2
F,v31,2
G,v31,0
H,v31,2
I,v31,0
J,v31,0
A,v30,0
B,v30,0
C,v30,1
D,v30,0
E,v30,0
F,v30,2
G,v30,0
H,v30,2
