group,variable,value
A,v40,1
B,v40,1
C,v40,3
D,v40,0
E,v40,0
F,v40,0
G,v40,1
H,v40,0
I,v40,0
J,v40,0
A,v39,0
B,v39,0
C,v39,0
D,v39,3
E,v39,1
F,v39,0
G,v39,3
H,v39,6
I,v39,1
J,v39,0
A,v38,1
B,v38,1
C,v38,1
D,v38,0
E,v38,0
F,v38,0
G,v38,0
H,v38,4
I,v38,4
J,v38,1
A,v37,4
B,v37,0
C,v37,1
D,v37,0
E,v37,1
F,v37,3
G,v37,1
H,v37,3
I,v37,2
J,v37,1
A,v36,0
B,v36,3
C,v36,1
D,v36,8
E,v36,0
F,v36,3
G,v36,1
H,v36,0
I,v36,1
J,v36,4
A,v35,1
B,v35,0
C,v35,0
D,v35,1
E,v35,0
F,v35,2
G,v35,0
H,v35,1
I,v35,0
J,v35,0
A,v34,1
B,v34,0
C,v34,3
D,v34,1
E,v34,1
F,v34,0
G,v34,1
H,v34,1
I,v34,0
J,v34,0
A,v33,0
B,v33,1
C,v33,0
D,v33,0
E,v33,0
F,v33,1
G,v33,0
H,v33,0
I,v33,1
