group,variable,value
A,v40,30
B,v40,26
C,v40,29
D,v40,30
E,v40,24
F,v40,18
G,v40,25
H,v40,26
I,v40,39
J,v40,36
A,v39,78
B,v39,42
C,v39,36
D,v39,38
E,v39,38
F,v39,25
G,v39,30
H,v39,23
I,v39,36
J,v39,29
A,v38,44
B,v38,36
C,v38,21
D,v38,29
E,v38,37
F,v38,26
G,v38,33
H,v38,32
I,v38,26
J,v38,51
A,v37,51
B,v37,29
C,v37,34
D,v37,26
E,v37,36
F,v37,39
G,v37,39
H,v37,20
I,v37,34
J,v37,24
A,v36,25
B,v36,45
C,v36,25
D,v36,28
E,v36,36
F,v36,47
G,v36,52
H,v36,33
I,v36,25
J,v36,49
A,v35,73
B,v35,26
C,v35,40
D,v35,44
E,v35,35
F,v35,21
G,v35,24
H,v35,22
I,v35,28
J,v35,68
A,v34,22
B,v34,25
C,v34,22
D,v34,28
E,v34,36
F,v34,41
G,v34,66
H,v34,74
I,v34,32
J,v34,22
A,v33,29
B,v33,34
C,v33,20
D,v33,23
E,v33,21
F,v33,33
G,v33,31
H,v33,56
I,v33,39
J,v33,24
A,v32,26
B,v32,22
C,v32,25
D,v32,64
E,v32,28
F,v32,27
G,v32,37
H,v32,47
I,v32,14
J,v32,32
A,v31,23
B,v31,24
C,v31,24
D,v31,23
E,v31,20
F,v31,27
G,v31,22
H,v31,27
I,v31,22
J,v31,27
A,v30,27
B,v30,22
C,v30,24
D,v30,18
E,v30,22
F,v30,34
G,v30,29
H,v30,27
I,v30,14
J,v30,38
A,v29,30
B,v29,30
C,v29,32
D,v29,39
E,v29,24
F,v29,33
G,v29,26
H,v29,36
I,v29,35
J,v29,18
A,v28,35
B,v28,36
C,v28,29
D,v28,28
E,v28,48
F,v28,31
G,v28,44
H,v28,27
I,v28,73
J,v28,22
A,v27,28
B,v27,18
C,v27,28
D,v27,24
E,v27,25
F,v27,26
