group,variable,value
A,v40,42
B,v40,27
C,v40,40
D,v40,23
E,v40,70
F,v40,34
G,v40,44
H,v40,66
I,v40,59
J,v40,49
A,v39,38
B,v39,35
C,v39,54
D,v39,40
E,v39,55
F,v39,36
G,v39,47
H,v39,57
I,v39,34
J,v39,36
A,v38,25
B,v38,56
C,v38,19
D,v38,44
E,v38,30
F,v38,40
G,v38,26
H,v38,31
I,v38,30
J,v38,33
A,v37,22
B,v37,54
C,v37,24
D,v37,28
E,v37,39
F,v37,46
G,v37,24
H,v37,45
I,v37,30
J,v37,30
A,v36,27
B,v36,44
C,v36,32
D,v36,23
E,v36,25
F,v36,24
G,v36,32
H,v36,28
I,v36,25
J,v36,30
A,v35,23
B,v35,20
C,v35,24
D,v35,69
E,v35,38
