group,variable,value
A,v40,28
B,v40,13
C,v40,21
D,v40,17
E,v40,21
F,v40,21
G,v40,25
H,v40,39
I,v40,52
J,v40,23
A,v39,61
B,v39,33
C,v39,26
D,v39,25
E,v39,29
F,v39,18
G,v39,46
H,v39,80
I,v39,23
J,v39,26
A,v38,25
B,v38,39
C,v38,43
D,v38,24
E,v38,31
F,v38,26
G,v38,35
H,v38,27
I,v38,20
J,v38,26
A,v37,20
B,v37,46
C,v37,32
D,v37,28
E,v37,33
F,v37,84
G,v37,35
H,v37,37
I,v37,58
J,v37,37
A,v36,25
B,v36,21
C,v36,28
D,v36,55
E,v36,20
F,v36,68
G,v36,28
H,v36,24
I,v36,29
J,v36,38
A,v35,33
B,v35,53
C,v35,23
D,v35,20
E,v35,34
F,v35,24
G,v35,41
H,v35,34
I,v35,26
J,v35,26
A,v34,26
B,v34,24
C,v34,29
D,v34,20
E,v34,19
F,v34,29
G,v34,26
H,v34,28
I,v34,25
J,v34,29
A,v33,29
B,v33,39
C,v33,36
D,v33,40
E,v33,24
F,v33,21
G,v33,32
H,v33,30
I,v33,31
J,v33,26
A,v32,78
B,v32,33
C,v32,42
D,v32,22
E,v32,28
F,v32,15
G,v32,27
H,v32,17
I,v32,20
J,v32,28
A,v31,19
B,v31,29
C,v31,26
D,v31,22
E,v31,26
F,v31,20
G,v31,39
H,v31,23
I,v31,45
J,v31,22
A,v30,23
B,v30,25
C,v30,16
D,v30,25
E,v30,30
F,v30,32
G,v30,31
H,v30,25
I,v30,27
J,v30,24
