group,variable,value
A,v40,66
B,v40,33
C,v40,34
D,v40,21
E,v40,30
F,v40,40
G,v40,37
H,v40,22
I,v40,25
J,v40,30
A,v39,38
B,v39,30
C,v39,20
D,v39,27
E,v39,35
F,v39,18
G,v39,25
H,v39,24
I,v39,31
J,v39,25
A,v38,19
B,v38,21
C,v38,31
D,v38,36
E,v38,35
F,v38,31
G,v38,30
H,v38,26
I,v38,18
J,v38,43
A,v37,47
B,v37,25
C,v37,25
D,v37,42
E,v37,38
F,v37,19
G,v37,44
H,v37,47
I,v37,28
J,v37,27
A,v36,46
B,v36,30
C,v36,34
D,v36,30
E,v36,30
F,v36,20
G,v36,32
H,v36,26
I,v36,25
J,v36,31
A,v35,33
B,v35,72
C,v35,44
D,v35,43
E,v35,32
F,v35,52
G,v35,156
H,v35,26
I,v35,39
J,v35,18
A,v34,39
B,v34,26
C,v34,21
D,v34,103
E,v34,41
F,v34,23
G,v34,25
H,v34,57
I,v34,54
J,v34,32
A,v33,36
B,v33,24
C,v33,26
D,v33,20
E,v33,25
F,v33,42
G,v33,61
H,v33,34
I,v33,19
J,v33,28
A,v32,21
B,v32,31
C,v32,29
D,v32,38
E,v32,30
F,v32,26
G,v32,33
H,v32,40
I,v32,40
J,v32,36
A,v31,32
B,v31,29
C,v31,25
D,v31,19
E,v31,36
F,v31,31
G,v31,18
H,v31,32
I,v31,34
J,v31,32
A,v30,24
B,v30,56
C,v30,82
D,v30,57
E,v30,42
F,v30,28
G,v30,27
H,v30,22
I,v30,20
J,v30,18
A,v29,21
B,v29,48
C,v29,41
D,v29,42
E,v29,43
F,v29,23
G,v29,20
H,v29,33
I,v29,24
J,v29,23
A,v28,18
B,v28,27
