group,variable,value
A,v40,72
B,v40,29
C,v40,41
D,v40,40
E,v40,21
F,v40,23
G,v40,28
H,v40,23
I,v40,28
J,v40,24
A,v39,30
B,v39,26
C,v39,31
D,v39,46
E,v39,32
F,v39,15
G,v39,27
H,v39,37
I,v39,41
J,v39,29
A,v38,36
B,v38,27
C,v38,22
D,v38,34
E,v38,32
F,v38,25
G,v38,21
H,v38,28
I,v38,28
J,v38,26
A,v37,33
B,v37,30
C,v37,33
D,v37,25
E,v37,39
F,v37,36
G,v37,36
H,v37,40
I,v37,28
J,v37,21
A,v36,30
B,v36,32
C,v36,33
D,v36,54
E,v36,32
F,v36,26
G,v36,24
H,v36,27
I,v36,26
J,v36,34
A,v35,52
B,v35,22
C,v35,35
D,v35,32
E,v35,42
F,v35,33
G,v35,30
H,v35,24
I,v35,26
J,v35,23
A,v34,22
B,v34,17
C,v34,48
D,v34,22
E,v34,32
F,v34,60
G,v34,57
H,v34,53
I,v34,41
J,v34,62
A,v33,43
B,v33,35
C,v33,24
D,v33,37
E,v33,54
F,v33,31
G,v33,22
H,v33,25
I,v33,42
J,v33,38
A,v32,32
B,v32,54
C,v32,38
D,v32,40
E,v32,76
F,v32,31
G,v32,26
H,v32,26
I,v32,70
J,v32,76
A,v31,36
B,v31,42
C,v31,27
D,v31,21
E,v31,18
F,v31,54
G,v31,23
H,v31,22
I,v31,25
J,v31,35
A,v30,29
B,v30,37
C,v30,26
D,v30,22
E,v30,32
F,v30,22
G,v30,37
H,v30,37
I,v30,50
J,v30,64
A,v29,27
B,v29,27
C,v29,33
D,v29,51
E,v29,31
F,v29,26
G,v29,44
H,v29,22
I,v29,30
J,v29,30
A,v28,80
B,v28,36
C,v28,19
D,v28,32
E,v28,38
F,v28,74
G,v28,27
H,v28,24
I,v28,29
