group,variable,value
A,v40,65
B,v40,27
C,v40,38
D,v40,40
E,v40,17
F,v40,29
G,v40,39
H,v40,59
I,v40,45
J,v40,47
A,v39,32
B,v39,35
C,v39,19
D,v39,26
E,v39,34
F,v39,28
G,v39,26
H,v39,28
I,v39,28
J,v39,36
A,v38,43
B,v38,48
C,v38,38
D,v38,38
E,v38,34
F,v38,23
G,v38,33
H,v38,22
I,v38,30
J,v38,34
A,v37,36
B,v37,25
C,v37,44
D,v37,20
E,v37,57
F,v37,26
G,v37,41
H,v37,31
I,v37,46
J,v37,33
A,v36,29
B,v36,23
C,v36,49
D,v36,27
E,v36,40
F,v36,23
G,v36,29
H,v36,40
I,v36,55
J,v36,40
A,v35,29
B,v35,38
C,v35,29
D,v35,24
E,v35,36
F,v35,36
G,v35,59
H,v35,44
I,v35,35
J,v35,20
A,v34,42
B,v34,41
C,v34,29
D,v34,41
E,v34,41
F,v34,30
G,v34,45
H,v34,53
I,v34,54
J,v34,53
A,v33,32
B,v33,43
C,v33,34
D,v33,52
E,v33,19
F,v33,26
G,v33,30
H,v33,27
I,v33,42
J,v33,52
A,v32,62
B,v32,35
C,v32,37
D,v32,53
E,v32,25
F,v32,33
G,v32,43
H,v32,42
I,v32,72
J,v32,39
A,v31,27
B,v31,28
C,v31,16
D,v31,35
E,v31,37
