group,variable,value
A,v40,28
B,v40,43
C,v40,29
D,v40,37
E,v40,24
F,v40,41
G,v40,39
H,v40,20
I,v40,22
J,v40,47
A,v39,45
B,v39,29
C,v39,26
D,v39,60
E,v39,64
F,v39,40
G,v39,28
H,v39,30
I,v39,32
J,v39,36
A,v38,26
B,v38,25
C,v38,38
D,v38,47
E,v38,58
F,v38,30
G,v38,36
H,v38,45
I,v38,45
J,v38,84
A,v37,40
B,v37,50
C,v37,29
D,v37,48
E,v37,15
F,v37,19
G,v37,72
H,v37,26
I,v37,31
J,v37,27
A,v36,31
B,v36,26
C,v36,28
D,v36,35
E,v36,23
F,v36,20
G,v36,80
H,v36,30
I,v36,26
J,v36,28
A,v35,36
B,v35,46
C,v35,48
D,v35,38
E,v35,38
F,v35,52
G,v35,39
H,v35,55
I,v35,46
J,v35,28
A,v34,42
B,v34,31
C,v34,36
D,v34,17
E,v34,29
F,v34,34
G,v34,22
H,v34,25
I,v34,68
J,v34,39
A,v33,68
B,v33,37
C,v33,46
D,v33,24
E,v33,33
F,v33,38
G,v33,32
H,v33,55
I,v33,26
J,v33,41
A,v32,26
B,v32,66
C,v32,41
D,v32,39
E,v32,39
F,v32,32
G,v32,37
H,v32,31
I,v32,38
J,v32,26
A,v31,39
B,v31,33
C,v31,37
D,v31,61
E,v31,28
F,v31,33
G,v31,44
H,v31,33
I,v31,49
J,v31,49
A,v30,20
B,v30,40
C,v30,21
D,v30,22
E,v30,43
F,v30,25
G,v30,37
H,v30,37
I,v30,23
