group,variable,value
A,v40,0
B,v40,0
C,v40,2
D,v40,4
E,v40,7
F,v40,2
G,v40,2
H,v40,2
I,v40,7
J,v40,5
A,v39,2
B,v39,1
C,v39,0
D,v39,2
E,v39,1
F,v39,0
G,v39,1
H,v39,0
I,v39,0
J,v39,1
A,v38,0
B,v38,1
C,v38,2
D,v38,0
E,v38,1
F,v38,1
G,v38,0
H,v38,1
I,v38,1
J,v38,1
A,v37,0
B,v37,2
C,v37,0
D,v37,0
E,v37,1
F,v37,0
G,v37,0
H,v37,0
I,v37,2
J,v37,1
A,v36,0
B,v36,1
C,v36,1
D,v36,1
E,v36,1
F,v36,0
G,v36,0
H,v36,0
I,v36,0
J,v36,0
A,v35,1
B,v35,5
C,v35,5
D,v35,2
E,v35,3
F,v35,5
G,v35,3
H,v35,0
I,v35,1
J,v35,0
A,v34,0
B,v34,0
C,v34,0
D,v34,6
E,v34,6
F,v34,8
G,v34,2
H,v34,3
I,v34,0
J,v34,3
A,v33,1
B,v33,0
C,v33,0
D,v33,3
E,v33,0
F,v33,1
G,v33,1
H,v33,0
I,v33,0
J,v33,2
A,v32,2
B,v32,0
C,v32,2
D,v32,0
E,v32,0
F,v32,1
G,v32,2
H,v32,0
I,v32,0
J,v32,2
A,v31,0
B,v31,0
C,v31,3
D,v31,3
E,v31,4
F,v31,0
G,v31,0
H,v31,0
I,v31,0
J,v31,0
A,v30,1
B,v30,1
C,v30,1
D,v30,1
E,v30,1
F,v30,7
G,v30,5
H,v30,4
I,v30,1
J,v30,0
A,v29,0
B,v29,1
C,v29,3
D,v29,0
E,v29,7
F,v29,4
G,v29,5
H,v29,2
I,v29,3
J,v29,1
A,v28,2
B,v28,2
C,v28,2
D,v28,2
E,v28,5
F,v28,7
G,v28,3
H,v28,3
I,v28,8
J,v28,3
A,v27,5
B,v27,3
C,v27,2
D,v27,9
E,v27,0
F,v27,0
G,v27,6
H,v27,6
I,v27,1
J,v27,3
A,v26,3
B,v26,0
C,v26,0
D,v26,0
E,v26,3
F,v26,1
G,v26,0
H,v26,0
I,v26,3
J,v26,0
A,v25,0
B,v25,0
C,v25,0
D,v25,0
E,v25,1
F,v25,2
G,v25,4
H,v25,0
I,v25,1
J,v25,0
