group,variable,value
A,v40,0
B,v40,0
C,v40,1
D,v40,0
E,v40,1
F,v40,0
G,v40,0
H,v40,0
I,v40,3
J,v40,1
A,v39,3
B,v39,3
C,v39,2
D,v39,4
E,v39,7
F,v39,1
G,v39,5
H,v39,4
I,v39,4
J,v39,1
A,v38,1
B,v38,1
C,v38,4
D,v38,5
E,v38,3
F,v38,2
G,v38,4
H,v38,1
I,v38,3
J,v38,1
A,v37,3
B,v37,6
C,v37,6
D,v37,2
E,v37,3
F,v37,1
G,v37,3
H,v37,1
I,v37,4
J,v37,3
A,v36,2
B,v36,2
C,v36,3
D,v36,0
E,v36,0
F,v36,2
G,v36,0
H,v36,1
I,v36,0
J,v36,1
A,v35,0
B,v35,4
C,v35,2
D,v35,0
E,v35,1
F,v35,0
G,v35,2
H,v35,0
I,v35,1
J,v35,5
A,v34,1
B,v34,1
C,v34,1
D,v34,1
E,v34,2
F,v34,4
G,v34,1
H,v34,0
I,v34,1
J,v34,1
A,v33,1
B,v33,3
C,v33,3
D,v33,0
E,v33,1
F,v33,0
G,v33,0
H,v33,0
I,v33,6
J,v33,0
A,v32,5
B,v32,8
C,v32,4
D,v32,2
E,v32,7
F,v32,12
G,v32,7
H,v32,4
I,v32,2
J,v32,1
A,v31,5
B,v31,2
C,v31,2
D,v31,0
E,v31,1
F,v31,2
G,v31,0
H,v31,0
I,v31,2
J,v31,1
A,v30,4
B,v30,1
C,v30,7
D,v30,5
E,v30,3
F,v30,5
G,v30,2
H,v30,4
I,v30,2
J,v30,2
A,v29,8
B,v29,3
C,v29,1
D,v29,0
E,v29,1
F,v29,3
G,v29,1
H,v29,2
I,v29,0
J,v29,3
A,v28,0
B,v28,2
