group,variable,value
A,v40,2
B,v40,4
C,v40,1
D,v40,0
E,v40,2
F,v40,3
G,v40,1
H,v40,0
I,v40,0
J,v40,1
A,v39,2
B,v39,2
C,v39,2
D,v39,0
E,v39,2
F,v39,0
G,v39,0
H,v39,0
I,v39,0
J,v39,0
A,v38,0
B,v38,0
C,v38,0
D,v38,0
E,v38,1
F,v38,3
G,v38,0
H,v38,0
I,v38,0
J,v38,0
A,v37,0
B,v37,2
C,v37,1
D,v37,2
E,v37,1
F,v37,1
G,v37,2
H,v37,0
I,v37,0
J,v37,1
A,v36,0
B,v36,1
C,v36,0
D,v36,1
E,v36,0
F,v36,0
G,v36,1
H,v36,0
I,v36,1
J,v36,1
A,v35,0
B,v35,0
C,v35,0
D,v35,3
E,v35,1
F,v35,1
G,v35,5
H,v35,0
I,v35,1
J,v35,2
A,v34,2
B,v34,1
C,v34,0
D,v34,0
E,v34,1
F,v34,2
G,v34,2
H,v34,10
I,v34,5
J,v34,2
A,v33,0
B,v33,1
C,v33,4
D,v33,2
E,v33,2
F,v33,1
G,v33,0
H,v33,0
I,v33,1
J,v33,0
A,v32,1
B,v32,0
C,v32,1
D,v32,0
E,v32,2
F,v32,0
G,v32,2
H,v32,2
I,v32,0
J,v32,1
A,v31,2
B,v31,2
C,v31,1
D,v31,0
E,v31,0
F,v31,3
G,v31,1
H,v31,1
I,v31,1
J,v31,2
A,v30,1
B,v30,0
C,v30,0
D,v30,0
E,v30,1
F,v30,0
G,v30,4
H,v30,1
I,v30,2
J,v30,1
A,v29,1
B,v29,1
C,v29,0
D,v29,0
E,v29,0
F,v29,4
G,v29,3
H,v29,2
I,v29,0
J,v29,0
A,v28,6
B,v28,0
C,v28,0
D,v28,4
E,v28,0
F,v28,3
