group,variable,value
A,v40,0
B,v40,0
C,v40,1
D,v40,0
E,v40,0
F,v40,0
G,v40,2
H,v40,0
I,v40,1
J,v40,0
A,v39,0
B,v39,0
C,v39,0
D,v39,0
E,v39,0
F,v39,0
G,v39,0
H,v39,0
I,v39,1
J,v39,2
A,v38,0
B,v38,0
C,v38,2
D,v38,1
E,v38,0
F,v38,0
G,v38,0
H,v38,0
I,v38,0
J,v38,0
A,v37,1
B,v37,0
C,v37,2
D,v37,1
E,v37,1
F,v37,0
G,v37,0
H,v37,0
I,v37,2
J,v37,0
A,v36,1
B,v36,0
C,v36,2
D,v36,0
E,v36,0
F,v36,0
G,v36,1
H,v36,0
I,v36,1
J,v36,0
A,v35,0
B,v35,0
C,v35,2
D,v35,1
E,v35,0
F,v35,3
G,v35,1
H,v35,0
I,v35,1
J,v35,0
A,v34,0
B,v34,0
C,v34,0
D,v34,0
E,v34,1
F,v34,0
G,v34,1
H,v34,0
I,v34,0
J,v34,0
A,v33,0
B,v33,0
C,v33,0
D,v33,0
E,v33,1
F,v33,0
G,v33,0
H,v33,0
I,v33,0
J,v33,0
A,v32,0
B,v32,1
C,v32,3
D,v32,1
E,v32,0
F,v32,3
G,v32,0
H,v32,0
I,v32,2
J,v32,1
A,v31,1
B,v31,1
C,v31,0
D,v31,1
E,v31,1
F,v31,0
G,v31,0
H,v31,0
I,v31,3
J,v31,1
A,v30,1
B,v30,1
C,v30,1
D,v30,3
E,v30,1
F,v30,3
G,v30,2
H,v30,2
I,v30,1
J,v30,2
A,v29,1
B,v29,2
C,v29,1
D,v29,2
E,v29,0
F,v29,1
G,v29,0
H,v29,0
I,v29,2
J,v29,0
A,v28,0
B,v28,0
C,v28,0
D,v28,0
E,v28,1
F,v28,0
G,v28,0
H,v28,0
I,v28,0
J,v28,0
A,v27,1
B,v27,0
C,v27,0
D,v27,0
E,v27,1
F,v27,0
G,v27,1
H,v27,0
I,v27,0
J,v27,0
A,v26,0
B,v26,1
C,v26,0
D,v26,0
E,v26,0
F,v26,0
G,v26,0
H,v26,0
I,v26,0
J,v26,0
A,v25,0
B,v25,0
C,v25,0
D,v25,0
E,v25,0
F,v25,0
G,v25,0
H,v25,0
I,v25,0
J,v25,0
A,v24,0
B,v24,0
C,v24,1
D,v24,0
E,v24,0
F,v24,0
G,v24,0
H,v24,2
I,v24,0
J,v24,0
A,v23,2
B,v23,0
C,v23,1
D,v23,0
E,v23,0
F,v23,0
G,v23,1
H,v23,0
I,v23,0
J,v23,0
A,v22,1
B,v22,3
C,v22,0
D,v22,1
E,v22,3
F,v22,0
G,v22,3
H,v22,0
I,v22,0
J,v22,0
A,v21,0
B,v21,0
C,v21,2
D,v21,1
E,v21,0
F,v21,0
G,v21,1
H,v21,0
I,v21,0
J,v21,1
A,v20,0
B,v20,0
C,v20,1
D,v20,0
E,v20,0
F,v20,0
G,v20,1
H,v20,0
I,v20,0
J,v20,1
A,v19,1
B,v19,1
C,v19,0
D,v19,1
E,v19,0
F,v19,0
G,v19,2
H,v19,0
I,v19,1
J,v19,1
A,v18,2
B,v18,0
C,v18,1
D,v18,0
E,v18,0
F,v18,0
G,v18,0
H,v18,0
I,v18,0
J,v18,0
A,v17,1
B,v17,0
C,v17,2
D,v17,0
E,v17,0
F,v17,1
G,v17,0
H,v17,0
I,v17,0
J,v17,0
A,v16,1
B,v16,1
C,v16,0
D,v16,1
E,v16,0
F,v16,0
G,v16,1
H,v16,1
I,v16,0
J,v16,1
A,v15,1
B,v15,1
C,v15,1
D,v15,0
E,v15,1
F,v15,1
G,v15,0
H,v15,0
I,v15,1
J,v15,1
A,v14,1
B,v14,1
C,v14,1
D,v14,1
E,v14,0
F,v14,1
G,v14,0
H,v14,3
I,v14,0
J,v14,1
A,v13,0
B,v13,0
C,v13,1
D,v13,1
E,v13,0
F,v13,1
G,v13,0
H,v13,3
I,v13,0
J,v13,0
A,v12,0
B,v12,1
C,v12,0
D,v12,3
E,v12,2
F,v12,0
G,v12,1
H,v12,1
I,v12,2
J,v12,2
A,v11,1
B,v11,0
C,v11,0
D,v11,0
E,v11,3
F,v11,1
G,v11,1
H,v11,0
I,v11,0
J,v11,1
A,v10,0
B,v10,1
C,v10,0
D,v10,0
E,v10,1
F,v10,2
G,v10,1
H,v10,0
I,v10,1
J,v10,0
A,v9,0
B,v9,1
C,v9,1
D,v9,1
E,v9,0
F,v9,0
G,v9,1
H,v9,1
I,v9,3
J,v9,1
A,v8,1
B,v8,0
C,v8,1
D,v8,3
E,v8,1
F,v8,0
G,v8,1
H,v8,0
I,v8,0
J,v8,1
A,v7,3
B,v7,0
C,v7,0
D,v7,0
E,v7,0
F,v7,3
G,v7,0
H,v7,1
I,v7,0
J,v7,0
A,v6,0
B,v6,0
C,v6,1
D,v6,0
E,v6,0
F,v6,2
G,v6,1
H,v6,3
I,v6,0
J,v6,5
A,v5,2
B,v5,0
C,v5,1
D,v5,0
E,v5,4
F,v5,0
G,v5,2
H,v5,1
I,v5,2
J,v5,0
A,v4,0
B,v4,1
C,v4,1
D,v4,0
E,v4,0
F,v4,1
G,v4,4
H,v4,1
I,v4,0
J,v4,1
A,v3,3
B,v3,2
C,v3,0
D,v3,0
E,v3,0
F,v3,0
G,v3,1
H,v3,2
I,v3,1
