group,variable,value
A,v40,0
B,v40,2
C,v40,1
D,v40,2
E,v40,0
F,v40,0
G,v40,0
H,v40,1
I,v40,1
J,v40,3
A,v39,0
B,v39,2
C,v39,0
D,v39,1
E,v39,3
F,v39,1
G,v39,1
H,v39,3
I,v39,1
J,v39,4
A,v38,5
B,v38,5
C,v38,3
D,v38,1
E,v38,3
F,v38,0
G,v38,0
H,v38,1
I,v38,1
J,v38,0
A,v37,0
B,v37,1
C,v37,1
D,v37,0
E,v37,0
F,v37,0
G,v37,1
H,v37,0
I,v37,0
J,v37,3
A,v36,2
B,v36,1
C,v36,3
D,v36,4
E,v36,3
F,v36,0
G,v36,3
H,v36,0
I,v36,1
J,v36,2
A,v35,1
B,v35,3
C,v35,0
D,v35,1
E,v35,1
F,v35,1
G,v35,1
H,v35,0
I,v35,1
J,v35,0
A,v34,0
B,v34,0
C,v34,0
D,v34,0
E,v34,1
F,v34,2
G,v34,3
H,v34,3
I,v34,2
J,v34,1
A,v33,0
B,v33,1
C,v33,0
D,v33,0
E,v33,0
F,v33,1
G,v33,0
H,v33,0
I,v33,1
J,v33,0
A,v32,0
B,v32,0
C,v32,2
D,v32,2
E,v32,3
F,v32,0
G,v32,0
H,v32,2
I,v32,10
J,v32,9
A,v31,0
B,v31,4
C,v31,1
