group,variable,value
A,v40,2
B,v40,3
C,v40,3
D,v40,0
E,v40,1
F,v40,2
G,v40,2
H,v40,3
I,v40,1
J,v40,0
A,v39,2
B,v39,2
C,v39,0
D,v39,1
E,v39,0
F,v39,2
G,v39,4
H,v39,0
I,v39,3
J,v39,2
A,v38,3
B,v38,1
C,v38,3
D,v38,2
E,v38,0
F,v38,2
G,v38,3
H,v38,3
I,v38,3
J,v38,1
A,v37,2
B,v37,0
C,v37,0
D,v37,0
E,v37,2
F,v37,0
G,v37,2
H,v37,2
I,v37,0
J,v37,4
A,v36,2
B,v36,1
C,v36,7
D,v36,2
E,v36,4
F,v36,1
G,v36,1
H,v36,1
I,v36,1
J,v36,1
A,v35,0
B,v35,0
C,v35,1
D,v35,1
E,v35,2
F,v35,1
G,v35,1
H,v35,0
I,v35,0
J,v35,2
A,v34,5
B,v34,4
C,v34,1
D,v34,1
E,v34,4
F,v34,1
G,v34,3
H,v34,3
I,v34,1
J,v34,2
A,v33,1
B,v33,1
C,v33,1
D,v33,1
E,v33,4
F,v33,0
G,v33,2
H,v33,2
I,v33,1
J,v33,0
A,v32,1
B,v32,1
C,v32,1
D,v32,0
E,v32,0
F,v32,0
G,v32,1
H,v32,0
I,v32,0
J,v32,1
A,v31,1
B,v31,5
C,v31,2
D,v31,0
E,v31,0
F,v31,2
G,v31,1
H,v31,7
I,v31,5
J,v31,3
A,v30,1
B,v30,3
C,v30,2
D,v30,1
E,v30,3
F,v30,2
G,v30,10
H,v30,3
I,v30,2
J,v30,5
A,v29,5
