group,variable,value
A,v40,2
B,v40,1
C,v40,2
D,v40,7
E,v40,7
F,v40,7
G,v40,2
H,v40,3
I,v40,1
J,v40,0
A,v39,1
B,v39,2
C,v39,4
D,v39,0
E,v39,4
F,v39,0
G,v39,2
H,v39,3
I,v39,3
J,v39,2
A,v38,5
B,v38,5
C,v38,7
D,v38,7
E,v38,4
F,v38,2
G,v38,2
H,v38,4
I,v38,1
J,v38,0
A,v37,0
B,v37,0
C,v37,0
D,v37,1
E,v37,0
F,v37,0
G,v37,2
H,v37,0
I,v37,0
J,v37,0
A,v36,0
B,v36,1
C,v36,0
D,v36,0
E,v36,0
F,v36,0
G,v36,0
H,v36,0
I,v36,0
J,v36,3
A,v35,0
B,v35,1
C,v35,0
D,v35,1
E,v35,0
F,v35,0
G,v35,0
H,v35,3
I,v35,0
J,v35,4
A,v34,1
B,v34,0
C,v34,0
D,v34,1
E,v34,1
F,v34,1
G,v34,3
H,v34,1
I,v34,2
J,v34,5
A,v33,0
B,v33,4
C,v33,1
D,v33,2
E,v33,3
F,v33,2
G,v33,1
