group,variable,value
A,v40,78
B,v40,21
C,v40,34
D,v40,34
E,v40,24
F,v40,28
G,v40,74
H,v40,40
I,v40,26
J,v40,24
A,v39,17
B,v39,29
C,v39,24
D,v39,29
E,v39,25
F,v39,34
G,v39,55
H,v39,25
I,v39,21
J,v39,54
A,v38,48
B,v38,34
C,v38,26
D,v38,23
E,v38,29
F,v38,28
G,v38,45
H,v38,27
I,v38,43
J,v38,23
A,v37,26
B,v37,25
C,v37,48
D,v37,62
E,v37,32
F,v37,22
G,v37,29
H,v37,38
I,v37,30
J,v37,22
A,v36,23
B,v36,27
C,v36,21
D,v36,14
E,v36,29
F,v36,31
G,v36,16
H,v36,28
I,v36,36
J,v36,27
A,v35,34
B,v35,27
C,v35,24
D,v35,28
E,v35,21
F,v35,30
G,v35,25
H,v35,29
I,v35,24
J,v35,18
A,v34,22
B,v34,24
C,v34,32
D,v34,40
E,v34,32
F,v34,25
G,v34,41
H,v34,20
I,v34,20
J,v34,29
A,v33,22
B,v33,22
C,v33,21
D,v33,27
E,v33,21
F,v33,24
G,v33,28
H,v33,19
I,v33,21
J,v33,62
A,v32,21
B,v32,30
C,v32,18
D,v32,22
E,v32,39
F,v32,28
G,v32,19
H,v32,20
I,v32,34
J,v32,26
A,v31,25
B,v31,20
C,v31,41
