group,variable,value
A,v40,25
B,v40,25
C,v40,24
D,v40,70
E,v40,38
F,v40,29
G,v40,20
H,v40,167
I,v40,26
J,v40,22
A,v39,23
B,v39,31
C,v39,24
D,v39,28
E,v39,28
F,v39,42
G,v39,34
H,v39,28
I,v39,22
J,v39,31
A,v38,28
B,v38,33
C,v38,27
D,v38,131
E,v38,17
F,v38,23
G,v38,36
H,v38,30
I,v38,50
J,v38,32
A,v37,46
B,v37,20
C,v37,37
D,v37,22
E,v37,51
F,v37,54
G,v37,25
H,v37,23
I,v37,22
J,v37,34
A,v36,29
B,v36,30
C,v36,26
D,v36,39
E,v36,31
F,v36,29
G,v36,20
H,v36,46
I,v36,35
J,v36,25
A,v35,30
B,v35,32
C,v35,26
D,v35,21
E,v35,21
F,v35,17
G,v35,35
H,v35,22
I,v35,24
J,v35,18
A,v34,45
B,v34,30
C,v34,48
D,v34,23
E,v34,34
F,v34,20
G,v34,25
H,v34,22
I,v34,49
J,v34,25
A,v33,29
B,v33,39
C,v33,29
D,v33,24
E,v33,22
F,v33,37
G,v33,19
H,v33,35
I,v33,22
J,v33,24
A,v32,25
B,v32,23
C,v32,17
D,v32,20
E,v32,38
F,v32,20
G,v32,33
H,v32,28
I,v32,20
J,v32,30
A,v31,23
B,v31,20
C,v31,31
D,v31,22
E,v31,29
F,v31,22
G,v31,24
H,v31,22
I,v31,21
J,v31,51
A,v30,20
B,v30,27
C,v30,19
D,v30,27
E,v30,20
F,v30,33
G,v30,31
H,v30,36
I,v30,38
J,v30,23
A,v29,21
B,v29,28
C,v29,34
D,v29,22
E,v29,18
F,v29,26
G,v29,25
H,v29,24
I,v29,16
J,v29,31
A,v28,30
B,v28,27
C,v28,22
D,v28,26
E,v28,28
F,v28,25
G,v28,30
H,v28,17
I,v28,24
J,v28,21
A,v27,22
B,v27,30
C,v27,27
D,v27,30
E,v27,21
F,v27,26
G,v27,22
H,v27,44
I,v27,26
J,v27,36
A,v26,21
B,v26,26
C,v26,23
D,v26,82
E,v26,46
F,v26,30
G,v26,35
H,v26,18
I,v26,37
J,v26,32
A,v25,21
B,v25,33
C,v25,25
D,v25,32
E,v25,24
F,v25,39
G,v25,27
H,v25,31
I,v25,26
J,v25,23
A,v24,36
B,v24,33
C,v24,30
D,v24,21
E,v24,36
F,v24,32
G,v24,78
H,v24,13
I,v24,19
J,v24,34
A,v23,42
B,v23,18
C,v23,31
D,v23,46
E,v23,21
F,v23,22
G,v23,22
H,v23,35
I,v23,38
J,v23,22
A,v22,37
B,v22,27
C,v22,28
D,v22,15
E,v22,33
F,v22,27
G,v22,24
H,v22,21
I,v22,23
J,v22,31
A,v21,19
B,v21,36
C,v21,27
D,v21,26
E,v21,19
F,v21,18
G,v21,23
H,v21,29
I,v21,43
J,v21,21
A,v20,24
B,v20,24
C,v20,31
D,v20,21
E,v20,32
F,v20,24
G,v20,27
H,v20,23
I,v20,38
J,v20,24
A,v19,25
B,v19,25
C,v19,31
D,v19,37
E,v19,24
F,v19,34
G,v19,26
H,v19,19
I,v19,19
J,v19,26
A,v18,24
B,v18,20
C,v18,28
D,v18,27
E,v18,31
F,v18,31
G,v18,17
H,v18,27
I,v18,27
J,v18,32
A,v17,30
B,v17,44
C,v17,149
D,v17,24
E,v17,22
F,v17,30
G,v17,33
H,v17,36
I,v17,21
J,v17,113
A,v16,32
B,v16,24
C,v16,26
D,v16,33
E,v16,37
F,v16,25
G,v16,21
H,v16,28
I,v16,23
J,v16,35
A,v15,18
B,v15,34
C,v15,32
D,v15,18
E,v15,21
F,v15,22
G,v15,20
H,v15,18
I,v15,18
J,v15,21
A,v14,40
B,v14,25
C,v14,29
D,v14,20
E,v14,26
F,v14,18
G,v14,26
H,v14,38
I,v14,20
J,v14,25
A,v13,38
B,v13,23
C,v13,31
D,v13,35
E,v13,27
F,v13,29
G,v13,34
H,v13,35
I,v13,37
J,v13,39
A,v12,24
B,v12,26
C,v12,19
D,v12,23
E,v12,18
F,v12,33
G,v12,22
H,v12,33
I,v12,20
J,v12,24
A,v11,38
B,v11,26
C,v11,57
D,v11,40
E,v11,30
F,v11,26
G,v11,31
H,v11,22
I,v11,38
J,v11,23
A,v10,21
B,v10,21
C,v10,30
D,v10,34
E,v10,23
F,v10,31
G,v10,32
H,v10,18
I,v10,63
J,v10,23
A,v9,54
B,v9,20
C,v9,16
D,v9,26
E,v9,44
F,v9,21
G,v9,25
H,v9,33
I,v9,32
J,v9,27
A,v8,31
B,v8,27
C,v8,23
D,v8,22
E,v8,26
F,v8,24
G,v8,31
H,v8,27
I,v8,28
J,v8,36
A,v7,24
B,v7,84
C,v7,46
D,v7,23
E,v7,30
F,v7,26
G,v7,24
H,v7,25
I,v7,49
J,v7,27
A,v6,33
B,v6,22
C,v6,15
D,v6,34
E,v6,34
F,v6,42
G,v6,34
H,v6,33
I,v6,32
J,v6,32
A,v5,39
B,v5,34
C,v5,25
D,v5,16
E,v5,33
F,v5,29
G,v5,28
H,v5,38
I,v5,34
J,v5,28
A,v4,23
B,v4,37
C,v4,34
D,v4,27
E,v4,62
F,v4,37
G,v4,42
H,v4,103
I,v4,28
J,v4,66
A,v3,49
B,v3,45
C,v3,39
D,v3,23
E,v3,50
F,v3,39
G,v3,30
H,v3,34
I,v3,150
