group,variable,value
A,v40,28
B,v40,25
C,v40,45
D,v40,21
E,v40,40
F,v40,40
G,v40,41
H,v40,32
I,v40,39
J,v40,23
A,v39,34
B,v39,26
C,v39,38
D,v39,23
E,v39,30
F,v39,22
G,v39,40
H,v39,26
I,v39,33
J,v39,34
A,v38,22
B,v38,21
C,v38,15
D,v38,22
E,v38,23
F,v38,24
G,v38,27
H,v38,27
I,v38,25
J,v38,24
A,v37,30
B,v37,56
C,v37,28
D,v37,53
E,v37,37
F,v37,18
G,v37,30
H,v37,22
I,v37,35
J,v37,19
A,v36,34
B,v36,19
C,v36,22
D,v36,17
E,v36,28
F,v36,21
G,v36,26
H,v36,24
I,v36,19
J,v36,20
A,v35,28
B,v35,38
C,v35,24
D,v35,36
E,v35,16
F,v35,17
G,v35,27
H,v35,25
I,v35,49
J,v35,19
A,v34,26
B,v34,25
C,v34,26
D,v34,17
E,v34,39
F,v34,23
G,v34,43
H,v34,27
I,v34,23
J,v34,50
A,v33,30
B,v33,38
C,v33,29
D,v33,22
E,v33,24
F,v33,36
G,v33,25
H,v33,25
I,v33,52
J,v33,29
A,v32,18
B,v32,24
C,v32,42
D,v32,37
E,v32,28
F,v32,24
G,v32,35
H,v32,28
