group,variable,value
A,v40,22
B,v40,20
C,v40,22
D,v40,30
E,v40,36
F,v40,24
G,v40,16
H,v40,19
I,v40,37
J,v40,23
A,v39,20
B,v39,31
C,v39,29
D,v39,19
E,v39,26
F,v39,24
G,v39,25
H,v39,45
I,v39,45
J,v39,28
A,v38,21
B,v38,48
C,v38,35
D,v38,18
E,v38,50
F,v38,37
G,v38,28
H,v38,20
I,v38,22
J,v38,18
A,v37,23
B,v37,23
C,v37,20
D,v37,21
E,v37,18
F,v37,36
G,v37,32
H,v37,19
I,v37,22
J,v37,26
A,v36,21
B,v36,24
C,v36,21
D,v36,32
E,v36,22
F,v36,17
G,v36,23
H,v36,22
I,v36,21
J,v36,27
A,v35,32
B,v35,20
C,v35,18
D,v35,20
E,v35,24
F,v35,21
G,v35,28
H,v35,34
I,v35,43
J,v35,22
A,v34,85
B,v34,44
C,v34,35
D,v34,146
E,v34,72
F,v34,29
G,v34,18
H,v34,19
I,v34,29
J,v34,25
A,v33,35
B,v33,31
C,v33,29
D,v33,25
E,v33,56
F,v33,45
G,v33,33
H,v33,56
I,v33,42
J,v33,26
A,v32,32
B,v32,33
C,v32,37
D,v32,25
E,v32,33
F,v32,26
G,v32,26
H,v32,31
I,v32,25
J,v32,45
A,v31,25
B,v31,27
C,v31,57
D,v31,21
E,v31,23
F,v31,22
G,v31,25
H,v31,16
I,v31,34
J,v31,38
A,v30,26
B,v30,36
C,v30,33
D,v30,42
E,v30,27
F,v30,45
G,v30,22
H,v30,78
I,v30,34
J,v30,22
A,v29,26
