group,variable,value
A,v40,29
B,v40,35
C,v40,78
D,v40,20
E,v40,22
F,v40,22
G,v40,28
H,v40,36
I,v40,34
J,v40,69
A,v39,24
B,v39,30
C,v39,21
D,v39,20
E,v39,26
F,v39,86
G,v39,43
H,v39,24
I,v39,43
J,v39,26
A,v38,18
B,v38,28
C,v38,38
D,v38,32
E,v38,47
F,v38,44
G,v38,22
H,v38,24
I,v38,82
J,v38,41
A,v37,43
B,v37,57
C,v37,26
D,v37,30
E,v37,32
F,v37,26
G,v37,26
H,v37,45
I,v37,41
J,v37,29
A,v36,27
B,v36,35
C,v36,25
D,v36,23
E,v36,23
F,v36,27
G,v36,31
H,v36,38
I,v36,44
J,v36,21
A,v35,26
B,v35,30
C,v35,35
D,v35,24
E,v35,32
F,v35,33
G,v35,74
H,v35,23
I,v35,38
J,v35,80
A,v34,24
B,v34,27
C,v34,29
D,v34,33
E,v34,17
F,v34,28
G,v34,37
H,v34,20
I,v34,32
J,v34,27
A,v33,16
B,v33,19
C,v33,38
D,v33,15
E,v33,22
F,v33,8
G,v33,37
H,v33,20
I,v33,26
J,v33,22
A,v32,31
B,v32,19
C,v32,23
D,v32,34
E,v32,20
F,v32,52
G,v32,24
H,v32,21
