group,variable,value
A,v40,29
B,v40,32
C,v40,20
D,v40,23
E,v40,23
F,v40,31
G,v40,20
H,v40,32
I,v40,36
J,v40,22
A,v39,31
B,v39,20
C,v39,36
D,v39,18
E,v39,21
F,v39,27
G,v39,40
H,v39,21
I,v39,19
J,v39,18
A,v38,31
B,v38,35
C,v38,25
D,v38,25
E,v38,25
F,v38,49
G,v38,27
H,v38,17
I,v38,20
J,v38,32
A,v37,20
B,v37,22
C,v37,24
D,v37,21
E,v37,19
F,v37,26
G,v37,26
H,v37,38
I,v37,24
J,v37,20
A,v36,69
B,v36,22
C,v36,27
D,v36,22
E,v36,36
F,v36,31
G,v36,30
H,v36,22
I,v36,31
J,v36,20
A,v35,27
B,v35,34
C,v35,62
D,v35,23
E,v35,41
F,v35,39
G,v35,25
H,v35,30
I,v35,34
J,v35,22
A,v34,30
B,v34,19
C,v34,27
D,v34,16
E,v34,26
F,v34,34
G,v34,19
H,v34,23
I,v34,26
J,v34,42
A,v33,22
B,v33,31
C,v33,30
D,v33,16
E,v33,20
F,v33,18
G,v33,20
H,v33,24
I,v33,26
