group,variable,value
A,v40,24
B,v40,28
C,v40,25
D,v40,19
E,v40,44
F,v40,23
G,v40,32
H,v40,16
I,v40,19
J,v40,18
A,v39,26
B,v39,24
C,v39,14
D,v39,19
E,v39,24
F,v39,38
G,v39,19
H,v39,25
I,v39,26
J,v39,21
A,v38,18
B,v38,22
C,v38,27
D,v38,42
E,v38,31
F,v38,20
G,v38,18
H,v38,47
I,v38,31
J,v38,25
A,v37,25
B,v37,24
C,v37,28
D,v37,21
E,v37,30
F,v37,21
G,v37,21
H,v37,26
I,v37,40
J,v37,39
A,v36,40
B,v36,23
C,v36,17
D,v36,27
E,v36,36
F,v36,31
G,v36,23
H,v36,22
I,v36,54
J,v36,30
A,v35,24
B,v35,28
C,v35,22
D,v35,32
E,v35,30
F,v35,22
G,v35,30
H,v35,30
I,v35,36
J,v35,25
A,v34,23
B,v34,90
C,v34,39
D,v34,30
E,v34,22
F,v34,29
G,v34,58
H,v34,17
I,v34,21
J,v34,16
A,v33,38
B,v33,26
C,v33,31
D,v33,51
E,v33,30
F,v33,23
G,v33,41
H,v33,44
I,v33,30
J,v33,27
A,v32,40
B,v32,28
C,v32,33
D,v32,32
E,v32,23
F,v32,28
G,v32,23
H,v32,28
I,v32,21
J,v32,48
A,v31,33
B,v31,24
C,v31,9
D,v31,18
E,v31,56
F,v31,31
G,v31,35
H,v31,30
I,v31,27
J,v31,45
A,v30,35
B,v30,37
C,v30,36
D,v30,36
E,v30,25
F,v30,34
G,v30,19
H,v30,39
I,v30,20
J,v30,25
A,v29,24
B,v29,22
C,v29,40
D,v29,39
E,v29,26
F,v29,29
G,v29,31
H,v29,24
I,v29,46
J,v29,29
A,v28,58
B,v28,29
C,v28,27
D,v28,22
E,v28,17
F,v28,17
G,v28,15
H,v28,13
