group,variable,value
A,v40,0
B,v40,0
C,v40,9
D,v40,0
E,v40,2
F,v40,0
G,v40,8
H,v40,8
I,v40,2
J,v40,9
A,v39,0
B,v39,2
C,v39,8
D,v39,10
E,v39,7
F,v39,6
G,v39,8
H,v39,11
I,v39,1
J,v39,4
A,v38,3
B,v38,9
C,v38,1
D,v38,2
E,v38,7
F,v38,5
G,v38,5
H,v38,0
I,v38,6
J,v38,1
A,v37,3
B,v37,4
C,v37,1
D,v37,6
E,v37,1
F,v37,7
G,v37,5
H,v37,7
I,v37,1
J,v37,9
A,v36,6
B,v36,4
C,v36,2
D,v36,8
E,v36,3
F,v36,2
G,v36,0
H,v36,1
I,v36,1
J,v36,0
A,v35,1
B,v35,3
C,v35,1
D,v35,1
E,v35,1
F,v35,3
G,v35,1
H,v35,1
I,v35,0
J,v35,3
A,v34,4
B,v34,0
C,v34,0
D,v34,0
E,v34,2
F,v34,0
G,v34,3
H,v34,0
I,v34,1
J,v34,0
A,v33,0
B,v33,1
C,v33,0
D,v33,3
E,v33,0
