group,variable,value
A,v40,2
B,v40,0
C,v40,3
D,v40,2
E,v40,1
F,v40,1
G,v40,2
H,v40,0
I,v40,1
J,v40,4
A,v39,0
B,v39,0
C,v39,0
D,v39,1
E,v39,0
F,v39,1
G,v39,0
H,v39,0
I,v39,2
J,v39,1
A,v38,0
B,v38,2
C,v38,5
D,v38,1
E,v38,1
F,v38,4
G,v38,0
H,v38,0
I,v38,0
J,v38,0
A,v37,2
B,v37,3
C,v37,0
D,v37,1
E,v37,1
F,v37,0
G,v37,0
H,v37,4
I,v37,1
J,v37,1
A,v36,0
B,v36,0
C,v36,0
D,v36,1
E,v36,0
F,v36,0
G,v36,2
H,v36,1
I,v36,1
J,v36,2
A,v35,1
B,v35,0
C,v35,0
D,v35,0
E,v35,0
F,v35,1
G,v35,0
H,v35,3
I,v35,1
J,v35,2
A,v34,0
B,v34,1
C,v34,3
D,v34,1
E,v34,3
F,v34,2
G,v34,0
H,v34,2
I,v34,2
J,v34,0
A,v33,0
B,v33,0
C,v33,1
D,v33,2
E,v33,1
F,v33,1
G,v33,2
H,v33,1
I,v33,2
J,v33,0
A,v32,0
B,v32,0
C,v32,1
D,v32,3
E,v32,0
F,v32,0
G,v32,0
H,v32,0
I,v32,0
J,v32,0
A,v31,0
B,v31,4
C,v31,7
D,v31,8
E,v31,0
F,v31,3
G,v31,1
H,v31,0
I,v31,1
J,v31,3
A,v30,1
B,v30,2
C,v30,4
D,v30,3
E,v30,0
F,v30,0
G,v30,0
H,v30,2
I,v30,0
J,v30,0
A,v29,0
B,v29,0
C,v29,1
D,v29,0
E,v29,1
F,v29,3
G,v29,3
H,v29,0
I,v29,0
J,v29,1
A,v28,5
B,v28,7
C,v28,1
D,v28,2
E,v28,11
F,v28,1
G,v28,1
H,v28,0
I,v28,0
J,v28,0
A,v27,0
B,v27,2
C,v27,4
D,v27,4
E,v27,3
F,v27,10
G,v27,3
H,v27,1
I,v27,1
J,v27,2
A,v26,0
B,v26,2
C,v26,1
D,v26,0
E,v26,1
F,v26,0
G,v26,0
H,v26,0
