group,variable,value
A,v40,1
B,v40,1
C,v40,0
D,v40,0
E,v40,2
F,v40,2
G,v40,1
H,v40,2
I,v40,1
J,v40,1
A,v39,1
B,v39,0
C,v39,0
D,v39,0
E,v39,4
F,v39,3
G,v39,2
H,v39,4
I,v39,1
J,v39,0
A,v38,0
B,v38,1
C,v38,0
D,v38,1
E,v38,1
F,v38,0
G,v38,3
H,v38,2
I,v38,0
J,v38,1
A,v37,0
B,v37,0
C,v37,0
D,v37,0
E,v37,0
F,v37,0
G,v37,0
H,v37,0
I,v37,0
J,v37,1
A,v36,0
B,v36,2
C,v36,0
D,v36,0
E,v36,0
F,v36,0
G,v36,0
H,v36,0
I,v36,0
J,v36,1
A,v35,1
B,v35,2
C,v35,1
D,v35,1
E,v35,0
F,v35,3
G,v35,2
H,v35,1
I,v35,2
J,v35,2
A,v34,2
B,v34,2
C,v34,5
D,v34,8
E,v34,2
F,v34,1
G,v34,0
H,v34,10
I,v34,5
J,v34,1
A,v33,1
B,v33,1
C,v33,2
D,v33,0
E,v33,3
F,v33,0
G,v33,0
H,v33,2
I,v33,0
J,v33,1
A,v32,1
B,v32,1
C,v32,0
D,v32,4
E,v32,1
F,v32,1
G,v32,2
H,v32,0
I,v32,1
J,v32,2
A,v31,1
B,v31,1
C,v31,0
D,v31,1
E,v31,0
F,v31,2
G,v31,2
H,v31,2
I,v31,1
J,v31,2
A,v30,2
B,v30,2
C,v30,2
D,v30,1
E,v30,0
F,v30,0
G,v30,0
H,v30,1
I,v30,0
J,v30,4
A,v29,2
B,v29,1
C,v29,2
D,v29,1
E,v29,0
F,v29,3
G,v29,1
