group,variable,value
A,v40,0
B,v40,0
C,v40,0
D,v40,0
E,v40,1
F,v40,0
G,v40,0
H,v40,1
I,v40,1
J,v40,0
A,v39,1
B,v39,1
C,v39,1
D,v39,0
E,v39,0
F,v39,1
G,v39,1
H,v39,1
I,v39,5
J,v39,6
A,v38,2
B,v38,10
C,v38,6
D,v38,6
E,v38,8
F,v38,2
G,v38,3
H,v38,7
I,v38,7
J,v38,4
A,v37,0
B,v37,0
C,v37,4
D,v37,1
E,v37,0
F,v37,1
G,v37,2
H,v37,5
I,v37,10
J,v37,4
A,v36,2
B,v36,1
C,v36,0
D,v36,3
E,v36,2
F,v36,1
G,v36,0
H,v36,0
I,v36,1
J,v36,6
A,v35,1
B,v35,0
C,v35,1
D,v35,1
E,v35,3
F,v35,0
G,v35,0
H,v35,0
I,v35,0
J,v35,0
A,v34,0
B,v34,1
C,v34,2
D,v34,2
E,v34,1
