group,variable,value
A,v40,50
B,v40,19
C,v40,26
D,v40,42
E,v40,39
F,v40,32
G,v40,28
H,v40,40
I,v40,50
J,v40,14
A,v39,38
B,v39,29
C,v39,38
D,v39,29
E,v39,25
F,v39,45
G,v39,28
H,v39,39
I,v39,29
J,v39,25
A,v38,143
B,v38,42
C,v38,38
D,v38,45
E,v38,21
F,v38,34
G,v38,32
H,v38,33
I,v38,27
J,v38,32
A,v37,41
B,v37,26
C,v37,52
D,v37,31
E,v37,19
F,v37,26
G,v37,48
H,v37,29
I,v37,35
J,v37,24
A,v36,26
B,v36,22
C,v36,36
D,v36,30
E,v36,37
F,v36,26
G,v36,20
H,v36,21
I,v36,52
J,v36,24
A,v35,23
B,v35,22
C,v35,34
D,v35,38
E,v35,31
F,v35,33
G,v35,29
H,v35,22
I,v35,19
J,v35,17
A,v34,26
B,v34,41
C,v34,36
D,v34,34
E,v34,37
F,v34,15
G,v34,26
H,v34,33
I,v34,41
J,v34,27
A,v33,28
B,v33,57
C,v33,52
D,v33,47
E,v33,28
F,v33,18
G,v33,31
H,v33,35
I,v33,22
J,v33,25
A,v32,22
B,v32,54
C,v32,34
D,v32,32
E,v32,31
F,v32,28
G,v32,27
H,v32,23
I,v32,29
J,v32,18
A,v31,32
B,v31,22
C,v31,39
D,v31,27
E,v31,21
F,v31,26
G,v31,25
H,v31,22
I,v31,42
J,v31,30
A,v30,32
B,v30,45
C,v30,33
D,v30,28
E,v30,38
F,v30,24
G,v30,26
H,v30,23
I,v30,62
J,v30,26
A,v29,40
B,v29,53
C,v29,28
D,v29,31
E,v29,30
F,v29,41
G,v29,28
H,v29,28
I,v29,26
J,v29,32
A,v28,45
B,v28,17
