group,variable,value
A,v40,22
B,v40,34
C,v40,36
D,v40,25
E,v40,22
F,v40,33
G,v40,35
H,v40,52
I,v40,53
J,v40,28
A,v39,28
B,v39,23
C,v39,27
D,v39,74
E,v39,36
F,v39,32
G,v39,30
H,v39,33
I,v39,24
J,v39,26
A,v38,38
B,v38,31
C,v38,22
D,v38,71
E,v38,24
F,v38,20
G,v38,34
H,v38,37
I,v38,54
J,v38,66
A,v37,30
B,v37,22
C,v37,33
D,v37,52
E,v37,26
F,v37,39
G,v37,23
H,v37,34
I,v37,33
J,v37,27
A,v36,28
B,v36,34
C,v36,36
D,v36,27
E,v36,42
F,v36,40
G,v36,20
H,v36,72
I,v36,36
J,v36,41
A,v35,41
B,v35,46
C,v35,53
D,v35,27
E,v35,43
F,v35,53
G,v35,72
H,v35,29
I,v35,30
J,v35,31
A,v34,20
B,v34,28
C,v34,31
D,v34,32
E,v34,26
F,v34,19
G,v34,46
H,v34,18
I,v34,40
J,v34,24
A,v33,38
B,v33,25
C,v33,29
D,v33,21
E,v33,28
F,v33,27
G,v33,35
H,v33,31
I,v33,30
J,v33,28
A,v32,21
B,v32,23
C,v32,27
D,v32,43
E,v32,40
F,v32,33
G,v32,42
H,v32,41
I,v32,39
J,v32,29
A,v31,38
B,v31,53
C,v31,28
D,v31,34
E,v31,140
F,v31,29
G,v31,32
H,v31,36
I,v31,34
J,v31,32
A,v30,35
B,v30,41
C,v30,37
D,v30,20
E,v30,14
F,v30,24
G,v30,30
H,v30,43
I,v30,29
J,v30,31
A,v29,30
B,v29,21
C,v29,36
D,v29,25
E,v29,29
F,v29,59
G,v29,23
H,v29,31
I,v29,25
J,v29,36
