group,variable,value
A,v40,41
B,v40,33
C,v40,20
D,v40,80
E,v40,22
F,v40,22
G,v40,36
H,v40,31
I,v40,19
J,v40,37
A,v39,30
B,v39,20
C,v39,47
D,v39,27
E,v39,37
F,v39,18
G,v39,31
H,v39,31
I,v39,71
J,v39,30
A,v38,108
B,v38,26
C,v38,27
D,v38,21
E,v38,28
F,v38,50
G,v38,18
H,v38,30
I,v38,26
J,v38,35
A,v37,25
B,v37,47
C,v37,27
D,v37,41
E,v37,27
F,v37,32
G,v37,36
H,v37,51
I,v37,25
J,v37,25
A,v36,35
B,v36,66
C,v36,18
D,v36,26
E,v36,24
F,v36,33
G,v36,34
H,v36,42
I,v36,30
J,v36,52
A,v35,18
B,v35,42
C,v35,35
D,v35,44
E,v35,131
F,v35,23
G,v35,56
H,v35,37
I,v35,15
J,v35,56
A,v34,31
B,v34,31
C,v34,77
D,v34,38
E,v34,30
F,v34,26
G,v34,40
H,v34,27
I,v34,40
J,v34,34
A,v33,30
B,v33,42
C,v33,40
D,v33,31
E,v33,26
F,v33,26
G,v33,30
H,v33,20
I,v33,35
J,v33,32
A,v32,36
B,v32,82
C,v32,26
D,v32,29
E,v32,23
F,v32,39
G,v32,25
H,v32,29
I,v32,35
J,v32,24
A,v31,27
B,v31,33
C,v31,29
D,v31,32
E,v31,23
F,v31,29
G,v31,25
H,v31,22
I,v31,26
J,v31,82
A,v30,32
B,v30,46
C,v30,29
D,v30,27
E,v30,62
F,v30,19
G,v30,25
H,v30,31
I,v30,30
