group,variable,value
A,v40,52
B,v40,27
C,v40,23
D,v40,31
E,v40,25
F,v40,70
G,v40,26
H,v40,62
I,v40,33
J,v40,28
A,v39,50
B,v39,28
C,v39,58
D,v39,24
E,v39,25
F,v39,79
G,v39,28
H,v39,35
I,v39,28
J,v39,20
A,v38,34
B,v38,23
C,v38,27
D,v38,25
E,v38,25
F,v38,28
G,v38,30
H,v38,46
I,v38,34
J,v38,21
A,v37,28
B,v37,22
C,v37,40
D,v37,34
E,v37,74
F,v37,48
G,v37,28
H,v37,65
I,v37,31
J,v37,75
A,v36,18
B,v36,36
C,v36,40
D,v36,24
E,v36,26
F,v36,47
G,v36,22
H,v36,150
I,v36,29
J,v36,27
A,v35,31
B,v35,28
C,v35,26
D,v35,22
E,v35,32
F,v35,22
G,v35,35
H,v35,60
I,v35,26
J,v35,27
A,v34,26
B,v34,24
C,v34,27
D,v34,21
E,v34,24
F,v34,34
G,v34,34
H,v34,25
I,v34,31
J,v34,30
A,v33,38
B,v33,49
C,v33,30
D,v33,54
E,v33,38
F,v33,60
G,v33,38
H,v33,34
I,v33,40
J,v33,46
A,v32,24
B,v32,20
C,v32,23
D,v32,28
E,v32,34
F,v32,26
G,v32,19
H,v32,24
I,v32,33
J,v32,20
A,v31,22
B,v31,52
C,v31,36
D,v31,32
E,v31,25
F,v31,24
G,v31,53
H,v31,27
I,v31,35
J,v31,44
A,v30,40
B,v30,26
C,v30,30
D,v30,23
E,v30,28
F,v30,43
G,v30,18
H,v30,23
I,v30,27
J,v30,38
A,v29,24
B,v29,31
C,v29,28
D,v29,38
E,v29,36
