group,variable,value
A,v40,18
B,v40,24
C,v40,26
D,v40,24
E,v40,48
F,v40,27
G,v40,34
H,v40,47
I,v40,17
J,v40,54
A,v39,36
B,v39,38
C,v39,23
D,v39,32
E,v39,38
F,v39,29
G,v39,23
H,v39,18
I,v39,30
J,v39,28
A,v38,28
B,v38,28
C,v38,25
D,v38,25
E,v38,37
F,v38,37
G,v38,24
H,v38,17
I,v38,25
J,v38,18
A,v37,47
B,v37,26
C,v37,28
D,v37,46
E,v37,38
F,v37,41
G,v37,16
H,v37,32
I,v37,21
J,v37,32
A,v36,43
B,v36,26
C,v36,54
D,v36,50
E,v36,29
F,v36,91
G,v36,38
H,v36,30
I,v36,35
J,v36,22
A,v35,27
B,v35,20
C,v35,33
D,v35,20
E,v35,45
F,v35,24
G,v35,29
H,v35,24
I,v35,32
J,v35,35
A,v34,31
B,v34,54
C,v34,58
D,v34,52
E,v34,22
F,v34,16
G,v34,50
H,v34,25
I,v34,22
J,v34,24
A,v33,45
B,v33,38
C,v33,72
D,v33,23
E,v33,38
F,v33,30
G,v33,50
H,v33,26
I,v33,40
J,v33,28
A,v32,21
B,v32,30
C,v32,27
D,v32,40
E,v32,26
F,v32,26
G,v32,32
H,v32,29
I,v32,41
J,v32,27
A,v31,41
B,v31,76
C,v31,33
D,v31,19
E,v31,48
F,v31,30
G,v31,38
H,v31,19
I,v31,41
J,v31,57
A,v30,86
B,v30,50
C,v30,26
D,v30,29
E,v30,175
F,v30,72
G,v30,27
H,v30,31
I,v30,23
J,v30,19
A,v29,50
B,v29,30
C,v29,26
D,v29,29
E,v29,34
F,v29,30
G,v29,26
H,v29,40
I,v29,31
J,v29,24
A,v28,22
B,v28,40
C,v28,31
D,v28,21
E,v28,31
F,v28,41
G,v28,28
H,v28,31
I,v28,24
J,v28,33
A,v27,47
B,v27,42
C,v27,38
D,v27,27
E,v27,28
F,v27,42
